uid,domain,variant,is_dirty,n_v,n_e,density,S_iso,S_red,S_log,S_sem,sem_observed,n_missing,n_dup,n_logconf,y_repair,scale_label,pi_entity,pi_graph,pi_context,defects
8A84BD0A688E71BFDEFF99E8A59C0EA3,government,clean,0,11,10,0.09091,100.0,100.0,100.0,77.799,0,0,0,0,0,none,0.0,0.0,0.0,
E54758CBCCF294AECD686A40476E7DB3,government,clean,0,13,12,0.07692,100.0,100.0,100.0,77.799,0,0,0,0,0,none,0.0,0.0,0.0,
CEACBEC233EE6AD5598D2CC286F1DEB9,government,clean,0,7,6,0.14286,100.0,100.0,100.0,77.799,0,0,0,0,0,none,0.0,0.0,0.0,
5FA060D2501CCB848590495B770890E2,government,clean,0,11,10,0.09091,100.0,100.0,100.0,77.799,0,0,0,0,0,none,0.0,0.0,0.0,
37CA4757AE7A7C78DCC9FD8AE19E6298,government,clean,0,13,12,0.07692,100.0,100.0,100.0,85.0,1,0,0,0,0,none,0.0,0.0,0.0,
431E6F90E189753C3E7AFC0A5A81C73C,government,clean,0,13,12,0.07692,100.0,100.0,100.0,77.799,0,0,0,0,0,none,0.0,0.0,0.0,
9C793706A7196311138BF99085E47DDA,government,clean,0,13,12,0.07692,100.0,100.0,100.0,77.799,0,0,0,0,0,none,0.0,0.0,0.0,
1E7C7046496C300F0511A85ADC4ECCAF,government,clean,0,7,6,0.14286,100.0,100.0,100.0,77.799,0,0,0,0,0,none,0.0,0.0,0.0,
174AF4F941CFAAD0EBDC1FD030BDA59B,government,clean,0,9,8,0.11111,85.714,100.0,100.0,77.799,0,1,0,0,0,none,0.0,0.0,0.0,
B57DD390F358C0E787B0079B88230502,government,clean,0,7,6,0.14286,100.0,100.0,100.0,77.799,0,0,0,0,0,none,0.0,0.0,0.0,
7B6909B81DA5F05E26C339F450349F58,government,clean,0,7,6,0.14286,100.0,100.0,100.0,77.799,0,0,0,0,0,none,0.0,0.0,0.0,
135e1fc00cc1444fb80834c7d311fa75,government,clean,0,8,7,0.125,57.143,100.0,100.0,77.799,0,3,0,0,0,none,0.0,0.0,0.0,
5184AD6A40B1109B9837CF11CB31A9EF,government,clean,0,13,12,0.07692,100.0,100.0,100.0,77.799,0,0,0,0,0,none,0.0,0.0,0.0,
AB55A4A1AFE8AAB745F7BEC1103EE473,government,clean,0,13,12,0.07692,100.0,100.0,100.0,77.799,0,0,0,0,0,none,0.0,0.0,0.0,
108104E897D780C9CD66366C41001A04,government,clean,0,13,12,0.07692,100.0,100.0,100.0,85.0,1,0,0,0,0,none,0.0,0.0,0.0,
5979A70713D635F58408AF63DDBB90C1,government,clean,0,7,6,0.14286,100.0,100.0,100.0,85.0,1,0,0,0,0,none,0.0,0.0,0.0,
B1AC5FF671AAD831A050B91AE5FFF63C,government,clean,0,7,6,0.14286,100.0,100.0,100.0,65.0,1,0,0,0,0,none,0.0,0.0,0.0,
59CA9EFC8E88F759FCC8EEEEB172199B,government,clean,0,13,12,0.07692,100.0,100.0,100.0,75.0,1,0,0,0,0,none,0.0,0.0,0.0,
ED962DB704D4E921ACC2032DD6CA17C0,government,clean,0,13,12,0.07692,100.0,100.0,100.0,65.0,1,0,0,0,0,none,0.0,0.0,0.0,
D621A57CB1CDA4EF436B7566E5E8A461,government,clean,0,7,6,0.14286,100.0,100.0,100.0,75.0,1,0,0,0,0,none,0.0,0.0,0.0,
3E1DCEA7A54BF86E3921E728291F9F8D,government,clean,0,13,12,0.07692,100.0,100.0,100.0,85.0,1,0,0,0,0,none,0.0,0.0,0.0,
6BAA0F97B7C53A92B5A5DBB271CB77CC,government,clean,0,13,12,0.07692,100.0,100.0,100.0,85.0,1,0,0,0,0,none,0.0,0.0,0.0,
46A8CFA7B7E300A32EA94763D1E764B8,government,clean,0,11,10,0.09091,100.0,100.0,100.0,77.799,0,0,0,0,0,none,0.0,0.0,0.0,
F2A2663CEB82EAF607BE89E84A55B25A,government,clean,0,7,6,0.14286,100.0,100.0,100.0,77.799,0,0,0,0,0,none,0.0,0.0,0.0,
1C9BF189B8A2F0D9E40903AE8ECAA37E,government,clean,0,13,12,0.07692,100.0,100.0,100.0,77.799,0,0,0,0,0,none,0.0,0.0,0.0,
5D5F6DE23ED7B3B2AFB94EE8E763FED4,government,clean,0,11,10,0.09091,85.714,100.0,100.0,77.799,0,1,0,0,0,none,0.0,0.0,0.0,
